datetime,Adj_Close,Close,High,Low,Open,Volume,Symbol
2007-03-16,3.19964,3.19964,3.21393,3.19,3.19786,571704000,AAPL
2007-03-15,3.19893,3.19893,3.22714,3.18964,3.21286,559498800,AAPL
2007-03-14,3.21429,3.21429,3.21429,3.14,3.16429,796586000,AAPL
2007-03-13,3.15714,3.15714,3.23571,3.15714,3.19321,867890800,AAPL
2007-03-12,3.20964,3.20964,3.21393,3.1425,3.14536,729408400,AAPL
2007-03-09,3.14179,3.14179,3.17321,3.12143,3.17143,451836000,AAPL
2007-03-08,3.14286,3.14286,3.16857,3.12357,3.16393,511011200,AAPL
2007-03-07,3.13286,3.13286,3.1775,3.12321,3.14464,626284400,AAPL
2007-03-06,3.14964,3.14964,3.15393,3.12143,3.13571,723186800,AAPL
2007-03-05,3.08286,3.08286,3.16607,3.06286,3.0675,838899600,AAPL
2007-03-02,3.05036,3.05036,3.12643,3.04321,3.09893,860000400,AAPL
2007-03-01,3.10929,3.10929,3.15393,2.99107,3.00107,1415528800,AAPL
2007-02-28,3.02179,3.02179,3.05714,2.96429,2.96429,919475200,AAPL
2007-02-27,2.9975,2.9975,3.11,2.97893,3.08214,1145813200,AAPL
2007-02-26,3.16107,3.16107,3.21429,3.12893,3.20857,615848800,AAPL
2007-02-23,3.18107,3.18107,3.22643,3.17321,3.18429,517893600,AAPL
2007-02-22,3.19679,3.19679,3.24321,3.16179,3.24286,838224800,AAPL
2007-02-21,3.18571,3.18571,3.19607,3.07,3.07071,1155313600,AAPL
2007-02-20,3.06786,3.06786,3.07714,3.00571,3.02321,617702400,AAPL
2007-02-16,3.02964,3.02964,3.05036,3.02357,3.04464,399868000,AAPL
2007-02-15,3.04321,3.04321,3.05786,3.02786,3.05143,363661200,AAPL
2007-02-14,3.04643,3.04643,3.05857,3.02036,3.0225,507981600,AAPL
2007-02-13,3.025,3.025,3.04607,3.01071,3.04143,580986000,AAPL
2007-02-12,3.03143,3.03143,3.04214,2.98679,3.01536,724071600,AAPL
2007-02-09,2.97393,2.97393,3.07857,2.97179,3.06714,860540800,AAPL
2007-02-08,3.07786,3.07786,3.08964,3.05036,3.05107,679030800,AAPL
2007-02-07,3.07679,3.07679,3.085,2.98393,3.01714,1066825200,AAPL
2007-02-06,3.00536,3.00536,3.01679,2.95929,3.01607,864393600,AAPL
2007-02-05,2.99786,2.99786,3.04393,2.99786,3.01071,578852400,AAPL
2007-02-02,3.02679,3.02679,3.04464,2.98929,3.00429,621530000,AAPL
2007-02-01,3.02643,3.02643,3.08107,3.02643,3.07964,664342000,AAPL
2007-01-31,3.06179,3.06179,3.07143,3.0125,3.03071,856069200,AAPL
2007-01-30,3.05536,3.05536,3.08893,3.04464,3.08679,577970400,AAPL
2007-01-29,3.06929,3.06929,3.09464,3.05464,3.08214,901664400,AAPL
2007-01-26,3.04929,3.04929,3.12036,3.03536,3.11107,986874000,AAPL
2007-01-25,3.08036,3.08036,3.16071,3.0725,3.11107,905973600,AAPL
2007-01-24,3.09643,3.09643,3.1125,3.07429,3.09571,927813600,AAPL
2007-01-23,3.06071,3.06071,3.12536,3.05393,3.06179,1207424400,AAPL
2007-01-22,3.09964,3.09964,3.18429,3.05893,3.18357,1454026000,AAPL
2007-01-19,3.16071,3.16071,3.20179,3.14714,3.16536,1364473600,AAPL
2007-01-18,3.18107,3.18107,3.28964,3.18036,3.28929,2364605600,AAPL
2007-01-17,3.39107,3.39107,3.48571,3.38643,3.48429,1646260000,AAPL
2007-01-16,3.46786,3.46786,3.47321,3.40893,3.41714,1244076400,AAPL
2007-01-12,3.37929,3.37929,3.395,3.32964,3.37821,1312690400,AAPL
2007-01-11,3.42143,3.42143,3.45643,3.39643,3.42643,1440252800,AAPL
2007-01-10,3.46429,3.46429,3.49286,3.3375,3.38393,2952880000,AAPL
2007-01-09,3.30607,3.30607,3.32071,3.04107,3.0875,3349298400,AAPL
2007-01-08,3.0525,3.0525,3.09036,3.04571,3.07,797106800,AAPL
2007-01-05,3.0375,3.0375,3.07857,3.01429,3.06321,834741600,AAPL
2007-01-04,3.05929,3.05929,3.06964,2.99357,3.00179,847260400,AAPL
2007-01-03,2.99286,2.99286,3.09214,2.925,3.08179,1238319600,AAPL
2006-12-29,3.03,3.03,3.05,2.97714,2.99821,1076429200,AAPL
2006-12-28,2.88821,2.88821,2.90179,2.84464,2.865,1119876800,AAPL
2006-12-27,2.91143,2.91143,2.92857,2.74179,2.79107,1935754800,AAPL
2006-12-26,2.91107,2.91107,2.94893,2.88893,2.93393,490688800,AAPL
2006-12-22,2.93571,2.93571,3.00143,2.91429,2.98071,613303600,AAPL
2006-12-21,2.96071,2.96071,3.05286,2.93571,3.025,903599200,AAPL
2006-12-20,3.02714,3.02714,3.09536,3.02643,3.08821,567691600,AAPL
2006-12-19,3.0825,3.0825,3.09571,2.98643,3.02607,911405600,AAPL
2006-12-18,3.0525,3.0525,3.14286,3.02107,3.12964,721576800,AAPL
2006-12-15,3.13286,3.13286,3.18643,3.11893,3.17929,739939200,AAPL
2006-12-14,3.1625,3.1625,3.21429,3.15214,3.18036,832330800,AAPL
2006-12-13,3.18036,3.18036,3.18107,3.1125,3.14107,857052000,AAPL
2006-12-12,3.07643,3.07643,3.17286,3.05464,3.16464,1026620000,AAPL
2006-12-11,3.16964,3.16964,3.18929,3.14464,3.175,499780400,AAPL
2006-12-08,3.15214,3.15214,3.1925,3.10714,3.11536,784277200,AAPL
2006-12-07,3.10857,3.10857,3.23214,3.10357,3.21536,1004827600,AAPL
2006-12-06,3.20821,3.20821,3.26393,3.2025,3.23714,638184400,AAPL
2006-12-05,3.25964,3.25964,3.2975,3.24536,3.27321,662838400,AAPL
2006-12-04,3.25429,3.25429,3.2875,3.23214,3.28143,709536800,AAPL
2006-12-01,3.26143,3.26143,3.2975,3.21786,3.27857,795079600,AAPL
2006-11-30,3.27357,3.27357,3.31,3.25214,3.29321,870486400,AAPL
2006-11-29,3.27857,3.27857,3.32679,3.22321,3.32143,1157083200,AAPL
2006-11-28,3.27893,3.27893,3.28464,3.21107,3.22714,1036173600,AAPL
2006-11-27,3.19786,3.19786,3.32714,3.19643,3.30393,1074836000,AAPL
2006-11-24,3.2725,3.2725,3.32429,3.19643,3.1975,518677600,AAPL
2006-11-22,3.22536,3.22536,3.24107,3.1375,3.17821,671941200,AAPL
2006-11-21,3.16429,3.16429,3.16429,3.11107,3.12214,622666800,AAPL
2006-11-20,3.08821,3.08821,3.10714,3.04286,3.05,570794000,AAPL
2006-11-17,3.06607,3.06607,3.06929,3.03571,3.04071,466424000,AAPL
2006-11-16,3.0575,3.0575,3.08214,3.02214,3.03107,693940800,AAPL
2006-11-15,3.00179,3.00179,3.06786,3.0,3.0375,655323200,AAPL
2006-11-14,3.03571,3.03571,3.03571,2.99643,3.02857,588954800,AAPL
2006-11-13,3.0125,3.0125,3.01607,2.95143,2.97214,450674000,AAPL
2006-11-10,2.96857,2.96857,2.98571,2.94643,2.98393,373864400,AAPL
2006-11-09,2.97643,2.97643,3.02464,2.93286,2.96071,923053600,AAPL
2006-11-08,2.94464,2.94464,2.95321,2.85321,2.85786,690916800,AAPL
2006-11-07,2.87536,2.87536,2.89286,2.86179,2.87321,525932400,AAPL
2006-11-06,2.84679,2.84679,2.85929,2.80107,2.81964,434576800,AAPL
2006-11-03,2.79607,2.79607,2.84036,2.77821,2.83429,431888800,AAPL
2006-11-02,2.82071,2.82071,2.83286,2.80357,2.81857,465483200,AAPL
2006-11-01,2.82714,2.82714,2.90643,2.79857,2.89643,611192400,AAPL
2006-10-31,2.89571,2.89571,2.91714,2.86536,2.90893,501474400,AAPL
2006-10-30,2.87214,2.87214,2.88929,2.83929,2.85679,499917600,AAPL
2006-10-27,2.87179,2.87179,2.94464,2.8575,2.91964,594966400,AAPL
2006-10-26,2.93536,2.93536,2.95,2.8975,2.925,432756800,AAPL
2006-10-25,2.91714,2.91714,2.92857,2.89321,2.90536,485214800,AAPL
2006-10-24,2.89464,2.89464,2.91714,2.86429,2.90036,463212400,AAPL
2006-10-23,2.90929,2.90929,2.925,2.84821,2.85679,832507200,AAPL
2006-10-20,2.85536,2.85536,2.85679,2.80964,2.82036,639413600,AAPL
